parameter_family,parameter,active_value,candidate_final_value,unit,candidate_price_basis,conversion_or_selection_rule,implementation_status,candidate_version,v2_change_reason
finance,gasccs.lifetime,30,30,year,physical parameter,retain current value; existing-fleet lifetime tested separately,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
finance,gchp.lifetime,30,30,year,physical parameter,retain current value; existing-fleet lifetime tested separately,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
finance,gchpccs.lifetime,30,30,year,physical parameter,retain current value; existing-fleet lifetime tested separately,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
finance,bio.lifetime,30,30,year,physical parameter,retain current value; existing-fleet lifetime tested separately,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
finance,bioccs.lifetime,30,30,year,physical parameter,retain current value; existing-fleet lifetime tested separately,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
finance,nuclear.lifetime,60,60,year,physical parameter,retain current value; existing-fleet lifetime tested separately,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
finance,battery.lifetime,15,15,year,physical parameter,retain current value; existing-fleet lifetime tested separately,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
finance,phs.lifetime,40,40,year,physical parameter,retain current value; existing-fleet lifetime tested separately,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
finance,transmission.lifetime,50,50,year,physical parameter,retain current value; existing-fleet lifetime tested separately,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
finance,spur.lifetime,40,40,year,physical parameter,retain current value; existing-fleet lifetime tested separately,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
finance,trunk.lifetime,40,40,year,physical parameter,retain current value; existing-fleet lifetime tested separately,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
thermal_system,ramping_cost_yuan_per_mwh,1,1.004004,2025 CNY/MWh,2025 constant CNY,2022 CNY x 1.004004 CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
thermal_system,nuclear_fuel_yuan_per_mwh,69,69.276276,2025 CNY/MWh,2025 constant CNY,2022 CNY x 1.004004 CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
wave_optional_only,capex_2030,21660.6,22545.0745,2025 CNY/kW,2025 FX conversion,sensitivity only; recommend changing the current wave-enabled Base to a wave-disabled reference,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
wave_optional_only,capex_2040,15693.6,16334.422,2025 CNY/kW,2025 FX conversion,sensitivity only; recommend changing the current wave-enabled Base to a wave-disabled reference,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
wave_optional_only,capex_2050,13501.8,14053.1235,2025 CNY/kW,2025 FX conversion,sensitivity only; recommend changing the current wave-enabled Base to a wave-disabled reference,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
